연번,경로당명칭,소재지,부지(㎡),건물(㎡),회원총계,남자회원,여자회원,전화번호,기준일자
1,내서경로당,대구광역시 서구 달구벌대로361길 35-29,139.8,160.8,40,0,40,053-554-0739,2017-11-10
2,시영내당(아)경로당,대구광역시 서구 서대구로8길 15 내당시영아파트,119,119,24,6,18,053-567-9772,2017-11-10
3,홍실1차경로당,대구광역시 서구 서대구로8길 49 내당보성홍실아파트,90,90,41,9,32,053-551-8286,2017-11-10
4,황성정경로당,대구광역시 서구 통학로 46,134.74,134.74,40,10,30,053-553-9874,2017-11-10
5,홍실2차경로당,대구광역시 서구 통학로 39 보성2차홍실타운,154.11,154.11,31,0,31,053-556-8220,2017-11-10
6,장수경로당,대구광역시 서구 큰장로9길 9-3,159,112,38,5,33,053-572-8123,2017-11-10
7,내당2동경로당,대구광역시 서구 큰장로15길 14-20,93,62.64,35,10,25,053-571-1637,2017-11-10
8,내당경로당,대구광역시 서구 평리로 408-13,216,183.68,40,5,35,053-565-0437,2017-11-10
9,천일경로당,대구광역시 서구 달구벌대로373길 2-24,165,172.84,17,2,15,053-566-3077,2017-11-10
10,삼화경로당,대구광역시 서구 달구벌대로373길 7-5,130,136.02,30,5,25,053-565-5084,2017-11-10
11,삼익맨션경로당,대구광역시 서구 서대구로 25,109.09,109.09,25,0,25,053-567-7765,2017-11-10
12,광장타운경로당,대구광역시 서구 달구벌대로 1707,76,76,38,4,34,053-563-3087,2017-11-10
13,명우경로당,대구광역시 서구 평리로 214 광명아파트,49.6,49.6,24,5,19,053-558-5006,2017-11-10
14,삼익뉴타운경로당,대구광역시 서구 평리로 236 삼익뉴타운아파트,66,132,45,13,32,053-562-1237,2017-11-10
15,내당4동경로당,대구광역시 서구 서대구로3길 43,142,60.1,39,23,16,053-562-4594,2017-11-10
16,내우경로당,대구광역시 서구 당산로51길 28-5,169.5,148.51,27,0,27,053-564-4346,2017-11-10
17,코오롱경로당,대구광역시 서구 당산로 260 코오롱아파트,29.75,29.75,22,0,22,053-552-5293,2017-11-10
18,동화타운경로당,대구광역시 서구 달구벌대로337길 29,40.48,40.48,29,14,15,053-558-0504,2017-11-10
19,웰빙경로당,대구광역시 서구 서대구로7길 46,34.2,34.2,60,0,60,053-523-3210,2017-11-10
20,당산경로당,대구광역시 서구 달서로39길 24,165,180.55,37,12,25,053-565-9636,2017-11-10
21,원상경로당,대구광역시 서구 통학로49길 30-27,158,163.27,64,31,33,053-551-3383,2017-11-10
22,만수정경로당,대구광역시 서구 북비산로61길 34,18.54,18.54,25,5,20,053-552-8812,2017-11-10
23,거창경로당,대구광역시 서구 북비산로61길 43-5,251,185.44,51,17,34,053-565-5555,2017-11-10
24,비산1동경로당,대구광역시 서구 통학로52길 30,124,146.2,30,8,22,053-553-0968,2017-11-10
25,비룡경로당,대구광역시 서구 북비산로75길 2-3,218,126.65,30,22,8,053-564-2265,2017-11-10
26,인동촌경로당,대구광역시 서구 북비산로74길 17 새마을금고,483,80.25,25,25,0,053-555-6555,2017-11-10
27,달성경로당,대구광역시 서구 달성공원로 13-14,129,138.56,20,0,20,053-554-0174,2017-11-10
28,모범경로당,대구광역시 서구 달서로26길 35-8,238,272.4,40,25,15,053-558-9819,2017-11-10
29,장수경로당,대구광역시 서구 달서로34길 13-14,39.54,39.54,25,0,25,전화없음,2017-11-10
30,상록경로당,대구광역시 서구 달서로18길 42-3,201,163.3,44,2,42,053-571-2901,2017-11-10
31,동흔경로당,대구광역시 서구 국채보상로76길 27-1,145,62.98,30,2,28,053-572-8040,2017-11-10
32,일구경로당,대구광역시 서구 평리로85길 15,155,83.46,36,1,35,053-553-7719,2017-11-10
33,비산우방경로당,대구광역시 서구 통학로24길 60 비산우방맨션,100,100,28,12,16,053-555-6518,2017-11-10
34,비산한신휴플러스경로당,대구광역시 서구 달서로17길 17 비산한신휴플러스,50.7,50.7,27,8,19,053-521-1127,2017-11-10
35,비산5동경로당,대구광역시 서구 서대구로68길 60-9,195.4,148.03,17,11,6,053-356-3287,2017-11-10
36,비산5동제2경로당,대구광역시 서구 달서천로61길 2-6,235,170.9,55,4,51,053-351-0751,2017-11-10
37,비산6동경로당,대구광역시 서구 문화로69길 26-16,238,130.38,28,11,17,053-564-1436,2017-11-10
38,비산6동제2경로당,대구광역시 서구 달서로27길 13-1,248,109.76,39,19,20,053-559-9677,2017-11-10
39,비산7동제1경로당,대구광역시 서구 달서천로55길 32 비산7동 새마을금고,49.5,49.5,40,20,20,053-351-9950,2017-11-10
40,성우경로당,대구광역시 서구 서대구로63안길 30-22,233,109.72,38,0,38,053-353-0457,2017-11-10
41,비산7동제2경로당,대구광역시 서구 서대구로 346-2,282.3,153.96,41,18,23,053-353-8984,2017-11-10
42,들마을경로당,대구광역시 서구 통학로30길 5-15,217.2,212.08,30,4,26,053-566-6188,2017-11-10
43,신도경로당,대구광역시 서구 문화로 313-14,156,147.26,32,20,12,053-559-9520,2017-11-10
44,평산경로당,대구광역시 서구 통학로40길 37-2,119.3,120.6,27,7,20,053-556-7846,2017-11-10
45,서부경로당,대구광역시 서구 국채보상로 336-6,106,61.9,29,2,27,053-567-6599,2017-11-10
46,평원경로당,대구광역시 서구 국채보상로66길 38-8,153,155.2,35,6,29,053-558-1608,2017-11-10
47,평리2동경로당,대구광역시 서구 국채보상로60길 35-9,160.3,95.4,25,1,24,053-566-1683,2017-11-10
48,평리롯데캐슬경로당,대구광역시 서구 국채보상로 316 평리롯데캐슬,190.2,190.2,30,1,29,053-521-5935,2017-11-10
49,새마을경로당,대구광역시 서구 서대구로36길 5-16,133.4,159.44,43,12,31,053-553-1348,2017-11-10
50,평안경로당,대구광역시 서구 서대구로42길 47-15,188,164.2,25,0,25,053-562-9354,2017-11-10
51,서안경로당,대구광역시 서구 북비산로 229-4,153,174.8,48,14,34,053-564-7227,2017-11-10
52,평리경로당,대구광역시 서구 서대구로42길 67-1,215,94.87,24,0,24,053-551-9076,2017-11-10
53,만수경로당,대구광역시 서구 평리로57길 15 평리동서1차아파트,26.44,26.44,22,0,22,053-562-1842,2017-11-10
54,청수경로당,대구광역시 서구 국채보상로52길 27-35,118.7,120.4,55,5,50,053-554-2867,2017-11-10
55,평광경로당,대구광역시 서구 국채보상로50길 42-37,183.9,108.86,37,20,17,053-561-0608,2017-11-10
56,장수경로당,대구광역시 서구 평리로73길 11-15,165.8,151.46,56,21,35,053-559-1369,2017-11-10
57,평리청구타운경로당,대구광역시 서구 서구 서대구로 77 평리청구타운,100,100,31,1,30,053-563-8824,2017-11-10
58,평리푸르지오경로당,대구광역시 서구 국채보상로50길 20 평리푸르지오아파트,79,79,60,20,40,053-522-0095,2017-11-10
59,평리5동경로당,대구광역시 서구 당산로82길 28-18,1293.3,210.2,46,0,46,053-562-7017,2017-11-10
60,도기경로당,대구광역시 서구 국채보상로39길 9-2,191.3,113.66,54,5,49,053-566-4363,2017-11-10
61,광명경로당,대구광역시 서구 문화로37길 6 평리광명아파트,140.4,140.4,30,1,29,053-557-0085,2017-11-10
62,평리6동경로당,대구광역시 서구 당산로86길 5-8,174.4,185.69,43,14,29,053-561-3717,2017-11-10
63,복지경로당,대구광역시 서구 서대구로41길 10 종합가정복지관,63.66,63.66,40,13,27,053-566-7559,2017-11-10
64,새동네경로당,대구광역시 서구 북비산로31길 11-28,157,167.85,35,5,30,053-563-9259,2017-11-10
65,상리1동경로당,대구광역시 서구 새방로27길 4,233,256.08,59,10,49,053-563-2110,2017-11-10
66,상리2동경로당,대구광역시 서구 가르뱅이로 63-24,243,263.9,42,8,34,053-555-0977,2017-11-10
67,이현경로당,대구광역시 서구 북비산로 104-8,324,136,30,11,19,053-554-5147,2017-11-10
68,중리시영2차경로당,대구광역시 서구 국채보상로38길 32 중리시영2차아파트,35.07,35.07,22,7,18,053-565-2569,2017-11-10
69,꽃동네경로당,대구광역시 서구 평리로 221 꽃동네아파트,50.08,50.08,37,5,32,053-558-0512,2017-11-10
70,두견화경로당,대구광역시 서구 국채보상로36길 42 중리진달래1차아파트,42.69,42.69,20,0,20,053-555-0127,2017-11-10
71,중리경로당,대구광역시 서구 와룡로70길 66,583,193.8,62,20,42,053-565-7650,2017-11-10
72,진달래경로당,대구광역시 서구 국채보상로38길 22 중리진달래2차아파트,36.06,36.06,25,5,20,053-522-5145,2017-11-10
73,중리시영(아)경로당,대구광역시 서구 당산로 324 중리시영1차아파트,52.89,52.89,32,4,28,053-551-6386,2017-11-10
74,중리일송경로당,대구광역시 서구 당산로53길 110-4,124.5,119.8,31,6,25,053-565-3233,2017-11-10
75,중리상록경로당,대구광역시 서구 국채보상로36길 16-2,196.3,204.31,34,12,22,053-567-2152,2017-11-10
76,중리롯데캐슬경로당,대구광역시 서구 국채보상로34길 12,194.63,194.63,70,25,45,053-294-0221,2017-11-10
77,"원대1,2가제1경로당",대구광역시 서구 달서천로 405-3,200.28,224.8,35,35,0,053-354-8695,2017-11-10
78,"원대1,2가제2경로당",대구광역시 서구 달서천로86길 6-10,285.9,374.4,67,0,67,053-357-8561,2017-11-10
79,원대3가제1경로당,대구광역시 서구 고성로21길 6,262,122.85,30,7,23,053-354-7665,2017-11-10
80,원대3가제2경로당,대구광역시 서구 팔달로46길 4-2,238,263,40,10,30,053-355-1577,2017-11-10
81,금류타운경로당,대구광역시 서구 원대로13길 2 원대금류타운,84.39,84.39,27,8,19,053-359-1769,2017-11-10
